ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime
507,2079.918535750194,1317.591282661588,276.53085712463337,-14.79361993692393,4115232.3504568655,-9.59060777647937,4.248347012311862,710.3422573430399,600
523,1625.2121471098621,1365.5232658871491,276.5256242844068,-14.859429036209356,694934.1185051152,-7.659480959883483,4.248347012311862,710.3422573430399,600
248,167.84523227661808,553.9121112865787,276.65309835642256,-15.066608356724787,522587.47944328823,-7.350019374919516,4.248347012311862,710.3422573430399,600
85,1795.9620286360355,185.01523812731332,276.7012120078568,-14.829974170048121,417018.57968803274,-7.105010386033034,4.248347012311862,710.3422573430399,600
596,173.85669229793584,1603.8173269532247,276.49607068102733,-15.070005603188418,303961.8940710557,-6.7616697291815,4.248347012311862,710.3422573430399,600
427,997.7060659429484,1056.25769283831,276.5744809098263,-14.94876213152218,216090.6736981579,-6.391211932747947,4.248347012311862,710.3422573430399,600
442,562.3854163424857,1106.5204482936617,276.56880417600877,-15.011844573814127,216029.7853324655,-6.390905959253118,4.248347012311862,710.3422573430399,600
699,1322.4097838810087,1961.072607335285,276.4379278347547,-14.905566271608734,215180.9670734423,-6.386631511548492,4.248347012311862,710.3422573430399,600
444,1693.7943344466275,1114.6893400103504,276.5627984977797,-14.848507921556019,214646.1213282015,-6.383929486920689,4.248347012311862,710.3422573430399,600
601,470.90844641039985,1637.6850180532967,276.48977923465714,-15.027221152052313,212734.85117892182,-6.374218483551225,4.248347012311862,710.3422573430399,600
395,199.12536660031162,973.3250883520977,276.5902462918134,-15.063791375776098,206829.05628772074,-6.343650749977108,4.248347012311862,710.3422573430399,600
417,1344.7162213764814,1040.2164904110004,276.57540697551786,-14.898591933592616,193445.76684340282,-6.271019950374717,4.248347012311862,710.3422573430399,600
289,895.6226083091385,673.7571116754981,276.6320795272501,-14.961948535966503,182493.39067393204,-6.207739724846535,4.248347012311862,710.3422573430399,600
667,1223.791598044137,1853.6792448578653,276.45438062942253,-14.919365634315822,177524.96751457942,-6.177770478663223,4.248347012311862,710.3422573430399,600
255,391.91226311128565,564.5549082164551,276.65055298407066,-15.034271748073893,175493.09698499937,-6.165271969488739,4.248347012311862,710.3422573430399,600
300,1307.0507002670388,715.067835137769,276.6241464374897,-14.902705402365248,172896.23771794286,-6.149085731486625,4.248347012311862,710.3422573430399,600
125,1167.7042324909476,292.7442053428413,276.6878498586806,-14.921106230843428,170350.35545101104,-6.132979484287154,4.248347012311862,710.3422573430399,600
38,977.8970828438949,84.62068044462205,276.7197753713985,-14.947669986975832,158936.06724992243,-6.05767803037268,4.248347012311862,710.3422573430399,600
357,2539.2296845299866,866.501358391556,276.5962309380548,-14.725526341760895,157221.49113566743,-6.045901651386014,4.248347012311862,710.3422573430399,600
143,2630.877490437815,337.26701983049577,276.67482478813133,-14.710149074721635,154508.3154269618,-6.027001517858293,4.248347012311862,710.3422573430399,600
461,544.835306917063,1158.6933907956732,276.5610783866,-15.014592218834975,151994.71296758135,-6.009193077966321,4.248347012311862,710.3422573430399,600
716,2107.0213422808406,2006.5735350818943,276.42787506382894,-14.79252469261891,148854.02367529646,-5.986523320445687,4.248347012311862,710.3422573430399,600
158,2392.436098083201,359.5012832548632,276.6725503722122,-14.744628086639798,146757.3381819612,-5.971121439338401,4.248347012311862,710.3422573430399,600
105,162.32282956140557,250.967543894102,276.69842667612005,-15.066176494305349,136133.20155985391,-5.8895320198143715,4.248347012311862,710.3422573430399,600
321,1861.2692356614332,763.9619702137913,276.61446334577545,-14.822909078402198,132902.39515358937,-5.863453893602648,4.248347012311862,710.3422573430399,600
445,697.9977052152045,1114.8270347559887,276.56699191139097,-14.992287878549874,122003.49899935792,-5.770552589545845,4.248347012311862,710.3422573430399,600
711,934.046354851121,1994.000007990117,276.43461052794146,-14.961774968402159,118522.75816822663,-5.7391262477522655,4.248347012311862,710.3422573430399,600
652,1895.7372337527713,1810.5128529397666,276.4580310409841,-14.822206276691594,117990.78879845637,-5.7342421353115665,4.248347012311862,710.3422573430399,600
692,1476.1771424177225,1945.1979726278607,276.43966243693615,-14.883304940830314,117810.96540556347,-5.732586161151123,4.248347012311862,710.3422573430399,600
94,1237.071434784379,218.80248355537935,276.69859805643557,-14.910789234669753,117796.46349753864,-5.732452504528547,4.248347012311862,710.3422573430399,600
508,2641.2291666962387,1322.0634865703416,276.5277989652719,-14.712679220714321,111549.7046487173,-5.6732929358795925,4.248347012311862,710.3422573430399,600
570,662.8549973027759,1511.881633955819,276.5077887150945,-14.998980007948395,109636.50653904123,-5.6545098458294625,4.248347012311862,710.3422573430399,600
95,271.79403001114605,226.16787034637733,276.70166537981504,-15.050254979974067,106224.39913746004,-5.620182581952101,4.248347012311862,710.3422573430399,600
39,883.1763659081057,86.6951191983901,276.7198766244978,-14.96135893838212,104071.94152492477,-5.597956015698778,4.248347012311862,710.3422573430399,600
602,310.61734473077917,1638.0288561007465,276.49039047160863,-15.050382222611635,101696.89146625716,-5.57289106953153,4.248347012311862,710.3422573430399,600
415,191.17225072399637,1036.639891533708,276.58081174782086,-15.065197987529988,100364.28349310032,-5.5585698452676375,4.248347012311862,710.3422573430399,600
110,1182.8871843398554,261.0618353034058,276.69251838492147,-14.918784966786243,98491.91913748789,-5.5381233736868705,4.248347012311862,710.3422573430399,600
386,839.5927607141582,934.4451691859006,276.59335542399464,-14.97110162442895,98373.01978309889,-5.536811882161901,4.248347012311862,710.3422573430399,600
304,623.90015575415,728.6343393896259,276.6250347846997,-15.001421115840476,97457.29856234224,-5.5266577963398955,4.248347012311862,710.3422573430399,600
346,163.1150471029962,831.4710113833647,276.6116109128484,-15.068419266675482,89238.82682727114,-5.431006504600212,4.248347012311862,710.3422573430399,600
212,1622.7994703461322,467.3435642159569,276.659794820437,-14.856116172917716,85247.61770703725,-5.381327502112953,4.248347012311862,710.3422573430399,600
150,1712.9758353103516,344.8706478259178,276.67769747648833,-14.842601998936365,83771.41461352387,-5.362361497183722,4.248347012311862,710.3422573430399,600
510,1326.44344611353,1331.3294183001944,276.53199195012286,-14.902416202636964,83307.23105515447,-5.356328623387828,4.248347012311862,710.3422573430399,600
630,2425.403925807778,1717.7111972353848,276.4696626319525,-14.745420507605493,81115.07919886854,-5.327375865429263,4.248347012311862,710.3422573430399,600
513,2789.467463829163,1336.932091597356,276.5249465682099,-14.691366268318692,80874.8365853618,-5.324155414410608,4.248347012311862,710.3422573430399,600
494,1843.4630051205436,1282.6525337421851,276.53707776420305,-14.827594246107756,78434.99104990985,-5.290896502362635,4.248347012311862,710.3422573430399,600
